pizza_id,customer_id,employee_id,created_at,fulfilled_at
1,94,4,2025-01-01 19:09:00,2025-01-01 19:34:00
2,118,3,2025-01-01 10:13:00,2025-01-01 10:47:00
3,82,1,2025-01-01 13:37:00,2025-01-01 14:03:00
4,180,4,2025-01-01 20:51:00,2025-01-01 21:06:00
5,80,4,2025-01-01 17:02:00,2025-01-01 17:21:00
6,85,3,2025-01-01 12:15:00,2025-01-01 12:49:00
7,35,1,2025-01-01 19:26:00,2025-01-01 19:54:00
8,81,4,2025-01-01 19:43:00,2025-01-01 20:04:00
9,221,2,2025-01-01 18:40:00,2025-01-01 19:13:00
10,166,3,2025-01-01 10:00:00,2025-01-01 10:14:00
11,266,3,2025-01-01 10:00:00,2025-01-01 10:17:00
12,165,4,2025-01-01 19:26:00,2025-01-01 19:50:00
13,168,4,2025-01-01 17:42:00,2025-01-01 18:03:00
14,10,1,2025-01-01 18:34:00,2025-01-01 18:55:00
15,54,2,2025-01-01 10:00:00,2025-01-01 10:22:00
16,18,4,2025-01-01 10:00:00,2025-01-01 10:23:00
17,112,1,2025-01-01 18:42:00,2025-01-01 18:56:00
18,202,2,2025-01-01 11:03:00,2025-01-01 11:34:00
19,39,3,2025-01-01 10:00:00,2025-01-01 10:30:00
20,69,1,2025-01-01 20:17:00,2025-01-01 20:47:00
21,296,1,2025-01-01 11:27:00,2025-01-01 11:58:00
22,126,1,2025-01-01 18:18:00,2025-01-01 18:49:00
23,283,2,2025-01-01 11:34:00,2025-01-01 11:47:00
24,122,1,2025-01-01 16:27:00,2025-01-01 16:59:00
25,155,3,2025-01-01 18:51:00,2025-01-01 19:18:00
26,75,2,2025-01-01 12:08:00,2025-01-01 12:32:00
27,36,3,2025-01-01 19:29:00,2025-01-01 19:50:00
28,120,3,2025-01-01 11:36:00,2025-01-01 11:57:00
29,141,1,2025-01-01 11:19:00,2025-01-01 11:45:00
30,299,4,2025-01-01 16:49:00,2025-01-01 17:12:00
31,232,2,2025-01-01 20:09:00,2025-01-01 20:24:00
32,113,1,2025-01-01 10:13:00,2025-01-01 10:34:00
33,27,4,2025-01-01 20:47:00,2025-01-01 21:19:00
34,160,2,2025-01-01 17:30:00,2025-01-01 17:59:00
35,4,2,2025-01-01 18:00:00,2025-01-01 18:13:00
36,252,1,2025-01-01 10:00:00,2025-01-01 10:16:00
37,249,4,2025-01-01 10:42:00,2025-01-01 11:01:00
38,300,1,2025-01-01 13:57:00,2025-01-01 14:09:00
39,298,4,2025-01-01 21:53:00,2025-01-01 22:14:00
40,290,4,2025-01-01 10:00:00,2025-01-01 10:16:00
41,42,2,2025-01-01 11:36:00,2025-01-01 12:01:00
42,167,4,2025-01-01 17:52:00,2025-01-01 18:16:00
43,115,4,2025-01-01 15:06:00,2025-01-01 15:20:00
44,148,2,2025-01-01 13:56:00,2025-01-01 14:12:00
45,44,4,2025-01-01 14:30:00,2025-01-01 14:45:00
46,123,4,2025-01-01 21:26:00,2025-01-01 21:38:00
47,96,1,2025-01-01 12:30:00,2025-01-01 12:51:00
48,225,2,2025-01-01 19:15:00,2025-01-01 19:37:00
49,76,2,2025-01-01 18:30:00,2025-01-01 18:43:00
50,135,1,2025-01-01 20:29:00,2025-01-01 20:42:00
51,265,1,2025-01-01 17:37:00,2025-01-01 18:08:00
52,45,1,2025-01-01 18:03:00,2025-01-01 18:19:00
53,48,3,2025-01-01 21:53:00,2025-01-01 22:07:00
54,66,1,2025-01-01 10:04:00,2025-01-01 10:26:00
55,256,4,2025-01-01 15:46:00,2025-01-01 16:17:00
56,73,1,2025-01-01 18:06:00,2025-01-01 18:37:00
57,151,4,2025-01-01 10:00:00,2025-01-01 10:30:00
58,13,3,2025-01-01 19:07:00,2025-01-01 19:39:00
59,211,4,2025-01-01 18:24:00,2025-01-01 18:50:00
60,294,3,2025-01-01 13:55:00,2025-01-01 14:16:00
61,144,4,2025-01-01 11:26:00,2025-01-01 11:53:00
